John Astin,"John Allen AstinMarch 30, 1930 (age 88)Baltimore, Maryland, U.S.",m,Suzanne Hahn (m. 1956–1972)Patty Duke (m. 1972–1985)Valerie Ann Sandobal (m. 1989)
Mackenzie Astin,"Mackenzie Alexander AstinMay 12, 1973 (age 45)Los Angeles, California, U.S.",m,Jennifer Abbott Astin
Sean Astin,"Sean Patrick DukeFebruary 25, 1971 (age 47)Santa Monica, California, U.S.",m,Christine Harrell (m. 1992)
Skylar Astin,"Skylar Astin LipsteinSeptember 23, 1987 (age 31)New York City, New York, U.S.",m,Anna Camp (m. 2016)
Hooper Atchley,"Lemuel Hooper AtchleyApril 30, 1887Ebenezer, Marion County, Tennessee U.S.",m,Violet Yahar
Roscoe Ates,"January 20, 1895Grange, Mississippi, U.S.",m,Clara Callahan(m. 1923; div. 1945)Leonore Belle Jumps(m. 1949; her death 1955)Beatrice Angelina Naranjo(m. 1960; his death 1962)
Christopher Atkins,"Christopher Atkins BomannFebruary 21, 1961 (age 57)Rye, New York, U.S.",m,Lyn Barron(m. 1985; div. 2007)
Tom Atkins,"November 13, 1935 (age 83)Pittsburgh, Pennsylvania, U.S.",m,Garn Stephens (divorced)Janice Atkins (1986–present)
Malcolm Atterbury,"February 20, 1907Philadelphia, Pennsylvania, U.S.",m,Ellen Ayres Hardies (1937-1992; his death) 3 children
Roy Atwell,"John Leroy AtwellMay 2, 1878Syracuse, New York, United States",m,Blanche Wear(1907–?; divorced)Dorothy Young(m. 1913; div. 1916)Ethel Smith(m. 1916; div. 1936)
René Auberjonois,"René Murat AuberjonoisJune 1, 1940 (age 78)New York, New York, U.S.",m,Judith Helen Mahalyi (m. 1963)
Jacques Aubuchon,"Jacques Georges AubuchonNovember 23, 1924Fitchburg, Massachusetts",m,"Denise Caubisens (1951-1991, his death)"
Kelly AuCoin,"Hillsboro, Oregon, U.S.",m,Carolyn Hall (1999–present)
Mischa Auer,"Mischa Ounskowsky17 November 1905St. Petersburg, Russia",m,Norma Tillman (1931-1941) (divorced) 2 childrenJoyce Hunter (1941-1950) (divorced)Susanne Kalish (1950-1957) (divorced) 2 childrenElsie Souls Lee (1965-1967) (his death)
Scott Aukerman,"July 2, 1970 (age 48)Savannah, Georgia, U.S.",m,Kulap Vilaysack (m. 2008)
Reggie Austin,"January 7, 1979 (age 39)Peekskill, New York, U.S.",m,Nicole Austin
Stone Cold Steve Austin,"Steven James AndersonDecember 18, 1964 (age 54)Austin, Texas, U.S.",m,Kathryn Burrhus(m. 1990; div. 1992)Jeanie Clarke(m. 1992; div. 1999)Debra Marshall(m. 2000; div. 2003)Kristin Feres (m. 2009)
Alan Autry,"Carlos Alan Autry Jr.July 31, 1952 (age 66)Shreveport, Louisiana, U.S.",m,Vicky Brown (1980–1986; divorced); 1 childKimberlee Autry (1994–present); 2 children
Frankie Avalon,"Francis Thomas AvalloneSeptember 18, 1940 (age 78)[1]Philadelphia, Pennsylvania, U.S.",m,Kathryn Diebel (m. 1963)
James Avery,"James LaRue AveryNovember 27, 1945Suffolk, Virginia, U.S.",m,Barbara Avery (m. 1988)
Tol Avery,"Taliaferro Ware AveryAugust 28, 1915Fort Worth, Texas, U.S.",m,Yvonne Tanchuck (? – 1968) (divorced)
Val Avery,"Sebouh Der AbrahamianJuly 14, 1924Philadelphia, Pennsylvania, U.S.",m,Margot Stevenson(m. 1953; his death 2009)
Arthur Aylesworth,"August 12, 1883Apponaug, Rhode Island, United States",m,Elizabeth AylesworthSadie Harris
Lew Ayres,"Lewis Frederick Ayres IIIDecember 28, 1908Minneapolis, Minnesota, U.S.",m,Lola Lane (m. 1931–1933) (divorced)Ginger Rogers (m. 1934–1940) (divorced) Diana Hall (m. 1964–1996) (his death)
Hank Azaria,"Henry Albert AzariaApril 25, 1964 (age 54)Queens, New York City, U.S.",m,Helen Hunt(m. 1999; div. 2000)Katie Wright (m. 2007)
Dian Bachar,"Dian Donovan BacharOctober 26, 1970 (age 48)Denver, Colorado, U.S.",m,Carrie Rapaport (m.2018)
Hans Bachmann,"Hans Rudolph Bachmann, Jr.June 24, 1954 (age 64)Cleveland, Ohio, U.S.",m,Debbie(m. 1981; div. 1983)
Christopher Backus,"Christopher Paul BackusOctober 30, 1981 (age 37)Mission Viejo, California",m,Mira Sorvino (m. 2004)
Jim Backus,"James Gilmore BackusFebruary 25, 1913Cleveland, Ohio, U.S.",m,Henny Backus (1943–1989; his death)
Irving Bacon,"Irving Von PetersSeptember 6, 1893Saint Joseph, Missouri, U.S.",m,Freda Lee Scofield (1921-1928; her death) 2 children (Robert and Barbara)Margaret (Peggy) Beaver (1930-1934; divorce); 1 child (Frank)Bernice Peters
Kevin Bacon,"Kevin Norwood BaconJuly 8, 1958 (age 60)Philadelphia, Pennsylvania, U.S.",m,Kyra Sedgwick (m. 1988)
Michael Badalucco,"December 20, 1954 (age 64)Brooklyn, New York, U.S.",m,Brenda Heyob (m. 1996)
Diedrich Bader,"Karl Diedrich BaderDecember 24, 1966 (age 52)Alexandria, Virginia, U.S.",m,Dulcy Rogers (m. 1997)
