Justin Gaston,"Justin Michael GastonAugust 12, 1988 (age 30)Pineville, Louisiana, U.S.",Melissa Ordway (m. 2012)
Kathie Lee Gifford,"Kathryn Lee EpsteinAugust 16, 1953 (age 65)Paris, France",Paul Johnson(m. 1976; div. 1983)Frank Gifford(m. 1986; died 2015)
Chad Gilbert,"Chad Everett GilbertMarch 9, 1981 (age 37)",Sherri DuPree(m. 2007; div. 2007)Hayley Williams(m. 2016; sep. 2017)
Carmine Giovinazzo,"August 24, 1973 (age 45)Staten Island, New York, United States",Vanessa Marcil(m. 2010; div. 2013)
Melissa Gorga,"Melissa Ann MarcoMarch 21, 1979 (age 39)","Giuseppe ""Joseph"" Gorga (m. 2004)"
Laura Jane Grace,"Thomas James GabelNovember 8, 1980 (age 38)Fort Benning, Georgia U.S.",Tiffany Danielle Kay(m. 2000; div. 2004)Heather Hannoura(m. 2007; div. 2013)
Clare Grant,"Clare Camille JohnsonAugust 23, 1979 (age 39)Memphis, Tennessee, U.S.",Seth Green (m. 2010)
Amanda Green,"December 29, 1963 (age 54)New York City, U.S.",Jeffrey Kaplan
Bryan Greenberg,"Bryan E. GreenbergMay 24, 1978 (age 40)Omaha, Nebraska, U.S.",Jamie Chung (m. 2015)
Ellen Greene,"February 22, 1951 (age 67)Brooklyn, New York, U.S.",Tibor Hardik(m. 1990; div. 1997)Christian Klikovits(m. 2003; div. 2007)
Lee Greenwood,"Melvin Lee GreenwoodOctober 27, 1942 (age 76)South Gate, California, US",Kimberly Payne (m. 1993)
Scott Grimes,"Scott Richard GrimesJuly 9, 1971 (age 47)Lowell, Massachusetts, U.S.",Dawn Bailey(m. 1997; div. 2007)
Jasmine Guy,"March 10, 1962 (age 56)[1]Boston, Massachusetts, U.S.",Terrence Duckett(m. 1998; div. 2008)
Malynda Hale,"August 21, 1986 (age 32)Santa Barbara, California, US",John Volk (m. 2011)
Ellis Hall,"Ellis Hall Jr.May 10, 1951Savannah, GA, U.S.",Susan Hancock(m. 1973; div. 1983)Ruth Ann Capone(m. 1987; div. 1992)Karen Murphy(m. 1994; death 2007)Leighala Jimenez (m. 2013)
Jillian Hall,"September 6, 1980 (age 38)[3]Ashland, Kentucky, United States[3]",Mike Farole(m. 2010; div. 2012)
Ashley Hamilton,"Ashley George HamiltonSeptember 30, 1974 (age 44)Los Angeles, California, U.S.",Shannen Doherty(m. 1993; div. 1994)Angie Everhart(m. 1996; div. 1997)
Kevin Hammond,"Kevin Richard HammondFebruary 7, 1985 (age 33)Kenosha, Wisconsin, United States",Jazmyn Engelhardt (m. 2011)
Chase Hampton,"Chasen Cord HamptonJanuary 12, 1975 (age 43)Oklahoma City, Oklahoma, U.S.",Lisa Cinelli (2012-present)
Jeff Hardy,"Jeffrey Nero HardyAugust 31, 1977 (age 41)[1]Cameron, North Carolina, U.S.[2]",Beth Britt (m. 2011)
Katie Harman,"Katie Marie HarmanAugust 18, 1980 (age 38)Portland, Oregon, U.S.",Tim Ebner (m. 2003)
Crystal Harris,"Crystal HarrisApril 29, 1986 (age 32)Lake Havasu City, Arizona, U.S.",Hugh Hefner(m. 2012; died 2017)
Neil Patrick Harris,"June 15, 1973 (age 45)Albuquerque, New Mexico, U.S.",David Burtka (m. 2014)
